products
Name,Name2,Price,Deposit,VolymInml,PricePerLiter,SalesStart,Discontinued,ProductGroup,Type,Style,Packaging,SealType,Origin,OriginCountryName,Producer,Supplier,Vintage,AlcoholContent,AssortmentCode,AssortmentText,Organic,Ethical,Kosher,RawMaterialsDescription
Cameleon,Malbec Cabernet Rosé,209.00,,3000.00,69.67,3/1/16,0,Rose wine,,,Box,Wing Pin,Cuyo,Argentina,Domaine Bousquet,Winepartners Nordic AB,2018,12.00%,BS,Order goods,1,0,0,
Valkyria Liqueur Ratatosk,Apple & Cinnamon,285.00,,500.00,570.00,12/1/15,0,Liqueur,Fruit liqueur,,Bottle,,Dalarna County,Sweden,Valkyria Distillery,Valkyria Distillery AB,,30.00%,TSLS,Local & Small-scale,1,0,0,
Gosset,Celebris Rosé,1299.00,,750.00,1732.00,11/2/15,0,Mousserande vin,Rosé,,Bottle,Champagne Cork-Natural,Champagne,France,Gosset,Divine AB,2007,12.00%,BS,Order goods,0,0,0,
Carlskrona,Julöl,25.80,,330.00,78.18,11/2/15,0,Beer,Ale unclassified,,Bottle,,,Sweden,Carlskrona Bryggeri,Carlskrona Bryggeri AB,,5.40%,BS,Order goods,0,0,0,Barley malt and hops.
Villa Valentina,Sangiovese,89.00,,750.00,118.67,11/2/15,0,Red wine,Fruity & Tasteful,,Bottle,Screw Cap,Apulia,Italy,Iconic Wines,Iconic Wines,2018,13.50%,FS,Fixed assortment,1,0,0,Sangiovese.
Reviresco,Morellino di Scansano,155.00,,750.00,206.67,11/2/15,0,Red wine,,,Bottle,,Tuscany,Italy,Bodegas Coop. de Vino de Toro,Villa Aurum AB,2013,13.00%,BS,Order goods,0,0,0,
Domaine du Petit Clocher,Anjou Blanc,175.00,,750.00,233.33,11/2/15,0,White wine,,,Bottle,,Loire Valley,France,Domaine du Petit Clocher,ClosProbus KB,2014,13.00%,BS,Order goods,0,0,0,
Auramaris,Vermentino,155.00,,750.00,206.67,11/2/15,0,White wine,,,Bottle,,Tuscany,Italy,Bodegas Coop. de Vino de Toro,Villa Aurum AB,2018,13.00%,BS,Order goods,1,0,0,
Valkyria,Absinthe,499.00,,500.00,998.00,12/1/15,0,Anise-flavoured liquor,Absinth,,Bottle,,Dalarna County,Sweden,Valkyria Distillery,Valkyria Distillery AB,,68.00%,BS,Order goods,0,0,0,
"Vinlåda Pi 3,14 Röd & Vit",,1020.00,,4500.00,226.67,11/2/15,0,Mixed-boxes wine,,,6 bottle à 750 ml,,,Spain,Bodegas Langa,Premier Taste Sweden AB,,13.50%,BS,Order goods,0,0,0,
Vinlåda Spännande Spanien Vit,,1128.00,,4500.00,250.67,11/2/15,0,Mixed-boxes wine,,,6 bottle à 750 ml,,,Spain,Flera producenter,Premier Taste Sweden AB,,12.50%,BS,Order goods,0,0,0,
Domaine Bousquet,Reserve Cabernet Sauvignon,119.00,,750.00,158.67,3/1/16,0,Red wine,,,Bottle,Natural Cork,Cuyo,Argentina,Domaine Bousquet,Vinia Sweden AB,2014,14.50%,BS,Order goods,1,0,0,85% Cabernet Sauvignon and 15% Malbec.
Vinlåda Spännande Spanien Röd,,1032.00,,4500.00,229.33,11/2/15,0,Red wine,,,6 bottle à 750 ml,,,Spain,Flera producenter,Premier Taste Sweden AB,,14.00%,BS,Order goods,0,0,0,
Jädraöl IPA,,27.90,,330.00,84.55,2/1/16,0,Beer,Ale British-American style,India Pale Ale (IPA),Bottle,,Gävleborg County,Sweden,Jädraås Bryggeri,Jädraås Bryggeri AB,,6.50%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Baggens IPA,,28.90,,330.00,87.58,12/1/15,0,Beer,Ale British-American style,India Pale Ale (IPA),Bottle,,Stockholm County,Sweden,Nacka Bryggeri,Nacka Bryggeri AB,,6.10%,TSLS,Local & Small-scale,0,0,0,"Pale ale and caramunichmalt and hop varieties Magnum, Cascade and Centennial."
Ryttmästarbrännvin,,312.00,,500.00,624.00,12/1/15,0,Aquavit and Spiced brännvin,Spiced spirits,,Bottle,,Västra Götalands County,Sweden,Qvänum Mat & Malt AB,Qvänum Mat & Malt AB,,37.30%,TSLS,Local & Small-scale,1,0,0,"Honey, cumin, juniper and fennel."
Rosen Boom,,25.60,,330.00,77.58,12/1/15,0,Beer,Dark lager,Schwarz Bier,Bottle,,Blekinge County,Sweden,Restaurang Skeppsgossen,Restaurang Skeppsgossen AB,,5.20%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Presentkartong Stänk ljusgul,1 flaska,12.00,,0.00,0.00,6/1/16,0,Gift packaging,1 bottle,Giftbox 1 bottle,,,,Unknown Origin,,Systembolaget Presenter,,0.00%,PA,,0,0,0,
Presentkartong Stänk ljusgul,2 flaskor,12.00,,0.00,0.00,6/1/16,0,Gift packaging,2 bottles,Giftbox 2 bottles,,,,Unknown Origin,,Systembolaget Presenter,,0.00%,PA,,0,0,0,
Presentpåse Stänk ljusgul,1 flaska,14.00,,0.00,0.00,6/1/16,0,Gift packaging,1 bottle,Giftbag 1 bottle,,,,Unknown Origin,,Systembolaget Presenter,,0.00%,PA,,0,0,0,
Leufsta Pils,,22.80,,330.00,69.09,12/1/15,0,Beer,Pale lager,Pilsner - Czech style,Bottle,,Uppsala County,Sweden,Leufstabruk Bryggeri AB,Leufstabruk Bryggeri AB,,5.00%,TSLS,Local & Small-scale,0,0,0,"Pilsner malt, light and dark caramel malt and hops varieties magnum and Saaz."
Neptun,IPA,26.00,,330.00,78.79,12/1/15,0,Beer,Ale British-American style,India Pale Ale (IPA),Bottle,,Blekinge County,Sweden,Restaurang Skeppsgossen,Restaurang Skeppsgossen AB,,6.00%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Leconfield,Shiraz,195.00,,750.00,260.00,3/1/16,0,Red wine,,,Bottle,,South Australia,Australia,Leconfield Wines,Granqvist Beverage House AB,2014,14.50%,BS,Order goods,0,0,0,
Leconfield,Cabernet Merlot,195.00,,750.00,260.00,3/1/16,0,Red wine,,,Bottle,,South Australia,Australia,Leconfield Wines,Granqvist Beverage House AB,2013,14.00%,BS,Order goods,0,0,0,
Royal Oats,Imperial Oat Porter,41.50,,330.00,125.76,1/4/16,0,Beer,Porter and Stout,Imperial Porter And Stout,Bottle,,Stockholm County,Sweden,PKLK Bryggeri,"Pikulik, Peter",,8.60%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Amadio,Shiraz,199.00,,750.00,265.33,3/1/16,0,Red wine,,,Bottle,,South Australia,Australia,Amadio Wines,Granqvist Beverage House AB,2013,14.50%,BS,Order goods,0,0,0,
Amadio,Cabernet Sauvignon,199.00,,750.00,265.33,3/1/16,0,Red wine,,,Bottle,,South Australia,Australia,Amadio Wines,Granqvist Beverage House AB,2012,14.80%,BS,Order goods,0,0,0,
Tommasi,Bardolino Chiaretto,109.00,,750.00,145.33,12/1/15,0,Rose wine,,,Bottle,,Venetia,Italy,Tommasi Viticoltori,Hermansson & Co AB,2018,12.00%,BS,Order goods,0,0,0,
Château Haut Condissas,Prestige,489.00,,750.00,652.00,12/1/15,0,Red wine,,,Bottle,Natural Cork,Bordeaux,France,Château Haut Condissas,Viña Española AB,2011,14.00%,BS,Order goods,0,0,0,
Mia,Pink Sparkling Moscato,84.00,,750.00,112.00,12/1/15,0,Mousserande vin,Rosé,,Bottle,,,Spain,Freixenet,Henkell Freixenet Sweden AB,,7.00%,BS,Order goods,0,0,0,
Mathelin,Extra Brut,378.00,,750.00,504.00,12/1/15,0,Mousserande vin,Dry white,,Bottle,,Champagne,France,Champagne Mathelin,Bonne Box / Ett Ord AB,,12.00%,BS,Order goods,0,0,0,
Beaumont des Crayères,Grand Rosé,270.00,,750.00,360.00,12/1/15,0,Mousserande vin,Rosé,,Bottle,,Champagne,France,Beaumont des Crayères,Hermansson & Co AB,,12.00%,BS,Order goods,0,0,0,
Zuccardi Q,Malbec,189.00,,750.00,252.00,12/1/15,0,Red wine,,,Bottle,Natural Cork,Cuyo,Argentina,Familia Zuccardi,We & Wine AB,2013,14.50%,BS,Order goods,0,0,0,
Amarone della Valpolicella Classico,,99.00,,375.00,264.00,12/1/15,0,Red wine,Spicy & Musty,,Bottle,Natural Cork,Venetia,Italy,Luigi Righetti,Nelex Beverage AB,2014,15.00%,FS,Fixed assortment,0,0,0,
Tama,Vineyard Selection Pinot Noir,139.00,,750.00,185.33,3/1/16,0,Red wine,,,Bottle,Screw Cap,Aconcagua,Chile,Anakena,Theis Vine AB,2014,14.00%,BS,Order goods,0,0,0,Pinot noir.
Ossian,,412.00,,750.00,549.33,12/1/15,0,White wine,,,Bottle,,Castile-Leon,Spain,Ossian Vides y Vinos S.L.,Ametller Scandinavia - spanska produkter AB,2016,14.50%,BS,Order goods,1,0,0,
Concentus,Rosso,391.00,,750.00,521.33,12/1/15,0,Red wine,,,Bottle,,Tre Venezie,Italy,Corteforte,Malchamax AB,2011,14.00%,BS,Order goods,0,0,0,
Podere Bertarole,Valpolicella Ripasso Classico Superiore,296.00,,750.00,394.67,12/1/15,0,Red wine,,,Bottle,,Venetia,Italy,Corteforte,Malchamax AB,2015,14.00%,BS,Order goods,0,0,0,
Marco Zunino,Malbec,129.00,,750.00,172.00,12/1/15,0,Red wine,,,Bottle,,Cuyo,Argentina,Marco Zunino,Carlemår Wine & Spirits AB,2013,14.00%,BS,Order goods,0,0,0,
Marco Zunino,Malbec Bonarda,131.00,,750.00,174.67,12/1/15,0,Red wine,,,Bottle,,Cuyo,Argentina,Marco Zunino,Carlemår Wine & Spirits AB,2013,13.50%,BS,Order goods,0,0,0,
Petit Chablis,La Chablisienne,79.00,,375.00,210.67,3/1/16,0,White wine,Fresh & Fruity,,Bottle,Screw Cap,Burgundy,France,La Chablisienne,Wine Affair Scandinavia AB,2018,12.50%,FS,Fixed assortment,0,0,0,Chardonnay.
Château Grand Francais,Bordeaux Supérieur,171.00,,750.00,228.00,12/1/15,0,Red wine,,,Bottle,,Bordeaux,France,Château Grand Francais,Risotto Fine Foods & Wine,2015,12.50%,BS,Order goods,1,0,0,
Terre di San Zeno,Amarone della Valpolicella Classico,499.00,,750.00,665.33,12/1/15,0,Red wine,,,Bottle,,Venetia,Italy,Corteforte,Malchamax AB,2012,15.00%,BS,Order goods,0,0,0,
Vigneti di Osan,Amarone della Valpolicella Classico,805.00,,750.00,1073.33,12/1/15,0,Red wine,,,Bottle,,Venetia,Italy,Corteforte,Malchamax AB,2009,15.50%,BS,Order goods,0,0,0,
Recioto della Valpolicella Classico,Corteforte,400.00,,500.00,800.00,12/1/15,0,Red wine,Sweet,,Bottle,,Venetia,Italy,Corteforte,Malchamax AB,2013,13.50%,BS,Order goods,0,0,0,
Dimension,Chardonnay,79.00,,750.00,105.33,3/1/16,0,White wine,Fresh & Fruity,,Bottle,Screw Cap,Western Cape,South Africa,Du Toitskloof Cellar,Stellan Kramer AB,2019,13.50%,FS,Fixed assortment,0,1,0,Chardonnay.
Sigtuna Paper Plane,Organic Lager,20.90,,330.00,63.33,3/1/16,0,Beer,Pale lager,Modern Style,Bottle,,,Sweden,Sigtuna Brygghus,Galatea AB,,5.10%,BS,Order goods,1,0,0,Barley malt and hops.
Eco Rojo,,79.00,,750.00,105.33,3/1/16,0,Red wine,,,Bottle,Screw Cap,Valencia,Spain,Hacienda La Serrata,Vinia Sweden AB,2017,13.50%,BS,Order goods,1,0,0,
Glenfiddich Original,,995.00,,700.00,1421.43,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,William Grant & Sons,Nigab,,40.00%,BS,Order goods,0,0,0,
Girvan Single Grain,25 Years,3295.00,,700.00,4707.14,12/1/15,0,Whisky,Grainwhisky,,Bottle,,Scotland,UK,William Grant & Sons,Nigab,,42.00%,BS,Order goods,0,0,0,
Mikkeller,Spontancassis,59.90,,375.00,159.73,3/1/16,0,Beer,Sour beer,Lambic - fruits and berries,Bottle,,,International Brand,Mikkeller,Brill & Co AB,,7.00%,FSB,Fixed assortment,0,0,0,"Barley malt, wheat, black currant and hops."
Glenfiddich,Rare Collection 36 Years,25900.00,,700.00,37000.00,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,William Grant & Sons,Nigab,1979,51.80%,BS,Order goods,0,0,0,
Cirrus,The Cloudy Lager,13.90,,330.00,42.12,3/1/16,0,Beer,Pale lager,Modern Style,Bottle,,,Sweden,Brutal Brewing,Spendrups Bryggeri AB,,5.10%,FS,Fixed assortment,1,0,0,"Barley malt and hops varieties palisade, Cascade and Hallertau."
Viva by Carolina Gynning,Prosecco Extra Dry,131.00,,750.00,174.67,12/1/15,0,Mousserande vin,Dry white,,Bottle,Natural Cork,Venetia,Italy,Gynning Wine,Kämpinge Trading AB,,11.00%,FS,Fixed assortment,1,0,0,Glera.
Château Belgrave,Grand Cru,1099.00,,1500.00,732.67,12/1/15,0,Red wine,,,Magnum,,Bordeaux,France,Vins et Vignobles Dourthe,Carovin AB,2010,14.00%,BS,Order goods,0,0,0,
Godet,Folles Blanches,998.00,,700.00,1425.71,12/1/15,0,Cognac,,,Bottle,Cork Stopper,Cognac,France,Godet Frères,Galatea AB,,40.00%,BS,Order goods,0,0,0,
Godet,Vielles Borderies,998.00,,700.00,1425.71,12/1/15,0,Cognac,,,Bottle,Cork Stopper,Cognac,France,Godet Frères,Galatea AB,,40.00%,BS,Order goods,0,0,0,
Château La Garde,,174.00,,375.00,464.00,12/1/15,0,Red wine,,,Bottle,,Bordeaux,France,Vins et Vignobles Dourthe,Carovin AB,2012,13.50%,BS,Order goods,0,0,0,
Mathelin,Brut Reserve,399.00,,750.00,532.00,12/1/15,0,Mousserande vin,Dry white,,Bottle,,Champagne,France,Champagne Mathelin,Bonne Box / Ett Ord AB,,12.00%,BS,Order goods,0,0,0,
Kininvie Anniversary 25yo,Single Cask no 20,4950.00,,350.00,14142.86,1/28/16,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,William Grant & Sons,Nigab,,56.00%,TSE,Temporary assortment,0,0,0,
Amontillado,Viejisimo Tradicion,1500.00,,375.00,4000.00,12/1/15,0,Aperitif and dessert,Sherry & Montilla,Amontillado,Bottle,,Andalusia,Spain,Bodegas Tradicion,janake wine group AB,,22.00%,BS,Order goods,0,0,0,
Kavalan,Podium,829.00,,700.00,1184.29,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Taiwan,Other Origins,Kavalan,Philipson Söderberg AB,,46.00%,BS,Order goods,0,0,0,
Cambus,The Pearls of Scotland Cask Strength,1599.00,,700.00,2284.29,12/1/15,0,Whisky,Grainwhisky,,Bottle,,Scotland,UK,Gordon & Company Ltd,Granqvist Beverage House AB,1988,47.80%,BS,Order goods,0,0,0,
Glen Garioch,The Pearls of Scotland Cask Strength,1599.00,,700.00,2284.29,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Gordon & Company Ltd,Granqvist Beverage House AB,1994,62.40%,BS,Order goods,0,0,0,
Glen Spey,The Pearls of Scotland Cask Strength,1599.00,,700.00,2284.29,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Gordon & Company Ltd,Granqvist Beverage House AB,1991,56.10%,BS,Order goods,0,0,0,
Invergordon,The Pearls of Scotland Cask Strength,1699.00,,700.00,2427.14,12/1/15,0,Whisky,Grainwhisky,,Bottle,,Scotland,UK,Gordon & Company Ltd,Granqvist Beverage House AB,1988,51.70%,BS,Order goods,0,0,0,
Invergordon,The Pearls of Scotland Cask Strength,1199.00,,700.00,1712.86,12/1/15,0,Whisky,Grainwhisky,,Bottle,,Scotland,UK,Gordon & Company Ltd,Granqvist Beverage House AB,1997,59.10%,BS,Order goods,0,0,0,
Strathclyde,The Pearls of Scotland Cask Strength,1599.00,,700.00,2284.29,12/1/15,0,Whisky,Grainwhisky,,Bottle,,Scotland,UK,Gordon & Company Ltd,Granqvist Beverage House AB,1988,54.00%,BS,Order goods,0,0,0,
Lion,Stout,41.70,,330.00,126.36,12/1/15,0,Beer,Porter and Stout,Imperial Porter And Stout,Bottle,Cap,,Sri Lanka,The Lion Brewery Ceylon,World Beer Trading KB,,8.80%,BS,Order goods,0,0,0,
Ardmore,The Pearls of Scotland Cask Strength,1199.00,,700.00,1712.86,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Gordon & Company Ltd,Granqvist Beverage House AB,2000,55.80%,BS,Order goods,0,0,0,
Lion,Stout,73.30,,625.00,117.28,12/1/15,0,Beer,Porter and Stout,Imperial Porter And Stout,Bottle,Cap,,Sri Lanka,The Lion Brewery Ceylon,World Beer Trading KB,,8.80%,BS,Order goods,0,0,0,
Cucapá,Obscura,43.40,,355.00,122.25,12/1/15,0,Beer,Ale British-American style,Brown Ale,Bottle,Cap,,Mexico,Cerveceria de Baja California,World Beer Trading KB,,4.80%,BS,Order goods,0,0,0,
Joseph Cartron,Cherry Brandy,239.00,,500.00,478.00,12/1/15,0,Liqueur,Berry liqueur,,Bottle,Screw Cap,,France,Joseph Cartron,We & Wine AB,,25.00%,BS,Order goods,0,0,0,
Port Ellen,Old & Rare Sherry Cask 33 Years,48921.00,,1500.00,32614.00,12/1/15,0,Whisky,Malt whiskey,,Magnum,,Scotland,UK,Hunter Laing & Company,Clydesdale AB,1982,58.30%,BS,Order goods,0,0,0,
Rigogolo Chianti Riserva,Nettuno,115.00,,750.00,153.33,3/1/16,0,Red wine,Spicy & Musty,,Bottle,Natural Cork,Tuscany,Italy,Nettuno,AB Wicked Wine Sweden,2016,13.00%,BS,Order goods,0,0,0,"Sangiovese 90%, 5% and 5% Canaiolo Cabernet Sauvignon."
Gurkha,Premium Lager Beer,34.60,,330.00,104.85,12/1/15,0,Beer,Pale lager,International Style,Bottle,Cap,,UK,Gurkha Beer Trading,World Beer Trading KB,,4.80%,BS,Order goods,0,0,0,
Julsnaps Royal Järvsö,,463.00,,700.00,661.43,12/1/15,0,Aquavit and Spiced brännvin,Spiced spirits,,Bottle,Synthetic Cork,,Sweden,Tevsjö Destilleri Järvsö AB,Tevsjö Destilleri i Järvsö AB,,39.00%,BS,Order goods,0,0,0,
Julsnaps Royal Järvsö,,227.00,,350.00,648.57,12/1/15,0,Aquavit and Spiced brännvin,Spiced spirits,,Bottle,Synthetic Cork,,Sweden,Tevsjö Destilleri Järvsö AB,Tevsjö Destilleri i Järvsö AB,,39.00%,BS,Order goods,0,0,0,
East London Premium Gin,Batch No 1,429.00,,700.00,612.86,3/1/16,0,Gin and Genever,Gin,,Bottle,,England,UK,East London Liquor Company,Spendrups Bryggeri AB,2016,45.00%,BS,Order goods,0,0,0,
Zuccardi Q,Chardonnay,189.00,,750.00,252.00,12/1/15,0,White wine,,,Bottle,Natural Cork,Cuyo,Argentina,Familia Zuccardi,We & Wine AB,2014,13.50%,BS,Order goods,0,0,0,
Val d'Oca,Valdobbiadene Prosecco Superiore Brut,149.00,,750.00,198.67,12/1/15,0,Mousserande vin,Dry white,,Bottle,Champagne Cork-Natural,Venetia,Italy,Val d'Oca,Amka Vinimport AB,2018,11.00%,BS,Order goods,0,0,0,
The English Whisky Co,Moscatel Wine Cask 7 Years,1045.00,,700.00,1492.86,12/1/15,0,Whisky,Malt whiskey,,Bottle,,,UK,Blackadder,Clydesdale AB,2007,63.20%,BS,Order goods,0,0,0,
Glenrothes,Raw Cask 13 Years,1133.00,,700.00,1618.57,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Blackadder,Clydesdale AB,2002,55.70%,BS,Order goods,0,0,0,
Inchgower,Raw Sherry Cask 20 Years,3360.00,,700.00,4800.00,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Blackadder,Clydesdale AB,1995,57.60%,BS,Order goods,0,0,0,
Jean d´Alibert,Rouge,119.00,,750.00,158.67,12/1/15,0,Red wine,,,Bottle,,Languedoc-Roussillon,France,Chantovent,Granqvist Beverage House AB,2014,13.00%,BS,Order goods,0,0,0,
Runa,Old School Yellow Gin,847.00,,700.00,1210.00,12/1/15,0,Gin and Genever,Gin,,Bottle,,,Sweden,Runa Vodka AB,Runa Vodka AB,,43.00%,BS,Order goods,1,0,0,
Château Rivière,Cuvée Prestige,119.00,,750.00,158.67,12/1/15,0,Red wine,,,Bottle,,Languedoc-Roussillon,France,Chantovent,Granqvist Beverage House AB,2017,14.50%,BS,Order goods,0,0,0,
Dailuaine,5 Years,837.00,,700.00,1195.71,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,The Riverstown Whisky Company,Clydesdale AB,2009,59.70%,BS,Order goods,0,0,0,
Château d´Hautpoul,Grande Réserve,139.00,,750.00,185.33,12/1/15,0,Red wine,,,Bottle,,Languedoc-Roussillon,France,Chantovent,Granqvist Beverage House AB,2013,13.50%,BS,Order goods,0,0,0,
Jameson,Caskmates Stout Edition,329.00,,700.00,470.00,12/1/15,0,Whisky,Blended whisky,,Bottle,,,Ireland,John Jameson,Pernod Ricard Sweden AB,,40.00%,BS,Order goods,0,0,0,
Realzin,Zinfandel,110.00,,750.00,146.67,12/1/15,0,Red wine,,,Bottle,Screw Cap,Apulia,Italy,Angelo Rocca & Figli Srl,Amka Vinimport AB,2018,13.00%,BS,Order goods,0,0,0,
Inchgower,5 Years,687.00,,700.00,981.43,12/1/15,0,Whisky,Malt whiskey,,Bottle,,Scotland,UK,Aberdeen Distillers,Clydesdale AB,2009,46.00%,BS,Order goods,0,0,0,
Ecoltura,Valpolicella,119.00,,750.00,158.67,12/1/15,0,Red wine,Spicy & Musty,,Bottle,Natural Cork,Venetia,Italy,Domaine Wines,Domaine Wines Sweden AB,2018,12.50%,FS,Fixed assortment,1,0,0,"Corvinone 50%, 30% rondinella and 20% corvina."
Boërl & Kroff,Cuvée Sélectionnée Brut,47299.00,,1500.00,31532.67,12/1/15,0,Mousserande vin,Dry white,,Magnum,,Champagne,France,Drappier,Apricot AB,1998,12.50%,BS,Order goods,0,0,0,
Boërl & Kroff,Cuvée Sélectionnée Brut Rosé,46599.00,,1500.00,31066.00,12/1/15,0,Mousserande vin,Rosé,,Magnum,,Champagne,France,Drappier,Apricot AB,,12.50%,BS,Order goods,0,0,0,
B de Boërl & Kroff,Cuvée Sélectionnée Brut,2999.00,,750.00,3998.67,12/1/15,0,Mousserande vin,Dry white,,Bottle,,Champagne,France,Drappier,Apricot AB,2005,12.50%,BS,Order goods,0,0,0,
Gimonnet-Gonet Tusen & en Natt,Grand Cru Brut Blanc de Blancs,325.00,,750.00,433.33,12/1/15,0,Mousserande vin,Dry white,,Bottle,,Champagne,France,Gimonnet-Gonet,MY-Wine,,12.00%,BS,Order goods,0,0,0,
Comte Hugues de La Bourdonnaye,Brut Nature,458.00,,750.00,610.67,12/1/15,0,Mousserande vin,Dry white,,Bottle,,Champagne,France,Hugues de La Bourdonnaye,Buteljholmen AB,,12.00%,BS,Order goods,0,0,0,
Comte Hugues de La Bourdonnaye,Blanc de Blancs Brut Nature,487.00,,750.00,649.33,12/1/15,0,Mousserande vin,Dry white,,Bottle,,Champagne,France,Hugues de La Bourdonnaye,Buteljholmen AB,,12.00%,BS,Order goods,0,0,0,
Kallfelz,Sensus Riesling-Hochgewächs Trocken,149.00,,750.00,198.67,12/1/15,0,White wine,,,Bottle,,Moselle,Germany,WG Albert Kallfelz,Granqvist Beverage House AB,2014,11.50%,BS,Order goods,0,0,0,
Medovarus Mjöd,Kombipack,792.00,,7920.00,100.00,12/1/15,0,Aperitif and dessert,Flavored wines & fruit wines,Mead,24 bottle à 330 ml,,,Russia,Medovarus,Tre Svampar AB,,5.70%,BS,Order goods,1,0,0,
Svenska nubbar,,239.00,,500.00,478.00,3/1/96,0,Aquavit and Spiced brännvin,Spiced spirits,,10 bottle à 50 ml,,,Sweden,Altia,Altia Sweden AB,,38.80%,FS,Fixed assortment,0,0,0,
Schild Estate Barossa Valley,Cabernet Sauvignon,199.00,,750.00,265.33,3/1/16,0,Red wine,,,Bottle,,South Australia,Australia,Schild Estate Wines,Granqvist Beverage House AB,2015,14.50%,BS,Order goods,0,0,0,
Greenalls Berkeley Square,London Gin,499.00,,700.00,712.86,12/1/15,0,Gin and Genever,Gin,,Bottle,,,UK,G & J Greenall,Hermansson & Co AB,,40.00%,BS,Order goods,0,0,0,
Evil Twin,Christmas Eve At A New York City Hotel Room,31.40,,355.00,88.45,12/1/15,0,Beer,Porter and Stout,Imperial Porter And Stout,Bottle,Crown Cap,,USA,Evil Twin Brewing,Galatea AB,,10.00%,BS,Order goods,0,0,0,
Shoot,Fizzy bubble gum,129.00,,500.00,258.00,1/22/18,0,Liqueur,Other liqueur,,Bottle,,,Norway,Arcus AS,Arcus Sweden AB,,16.40%,BS,Order goods,0,0,0,
Barolo Ravera,Cagliero,599.00,,750.00,798.67,1/22/18,0,Red wine,,,Bottle,,Piedmont,Italy,Cagliero,Vinonista AB,2007,14.50%,BS,Order goods,0,0,0,
Barolo,BelColle Simposio Riserva,465.00,,750.00,620.00,1/24/18,0,Red wine,,,Bottle,,Piedmont,Italy,Agricola Bosio srl,Malchamax AB,2009,14.50%,BS,Order goods,0,0,0,
Angoris,Sauvignon Blanc,129.00,,750.00,172.00,1/29/18,0,White wine,,,Bottle,,Friuli-Venezia-Giulia,Italy,Tenuta di Angoris,Nebbia HB,2016,14.00%,BS,Order goods,0,0,0,
Angoris,Pignolo,219.00,,750.00,292.00,1/29/18,0,Red wine,,,Bottle,,Friuli-Venezia-Giulia,Italy,Tenuta di Angoris,Nebbia HB,2012,14.00%,BS,Order goods,0,0,0,
The Golden Stallion,,99.00,,750.00,132.00,2/21/18,0,Red wine,Fruity & Tasteful,,Bottle,Natural Cork,Murcia,Spain,Juan Gil,Vinunic AB,2018,14.50%,BS,Order goods,1,0,0,Monastrell.
Ferrari,Riserva Lunelli,359.00,,750.00,478.67,1/31/18,0,Mousserande vin,,,Bottle,Champagne Cork-Natural,Trentino-Alto Adige,Italy,Ferrari,Ward Wines AB,2008,12.50%,BS,Order goods,0,0,0,
Jämtlands,American Pale Ale,24.90,,330.00,75.46,6/3/19,0,Beer,Ale British-American style,American Pale Ale (APA),Bottle,,Jämtland County,Sweden,Jämtlands Bryggeri AB,Jämtlands Bryggeri AB,,5.40%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Bruno Clair,Gevrey-Chambertin,799.00,,750.00,1065.33,1/29/18,0,Red wine,,,Bottle,Natural Cork,Burgundy,France,Domaine Bruno Clair,Johan Lidby Vinhandel AB,2015,13.00%,BS,Order goods,0,0,0,
Concerto,Reggiano Lambrusco,129.00,,750.00,172.00,3/2/18,0,Red wine,Soft & Berry,,Bottle,,Emilia Romagna,Italy,Medici Ermete & Figli,Quaffable Wines Sweden AB,2016,11.50%,TSE,Temporary assortment,0,0,0,Lambrusco.
Las Pizarras,Chardonnay,559.00,,750.00,745.33,9/7/18,0,White wine,,,Bottle,,Aconcagua,Chile,Viña Errazuriz S.A,Winemarket Nordic AB,2016,13.00%,TSE,Temporary assortment,0,0,0,Chardonnay.
Las Pizarras,Pinot Noir,799.00,,750.00,1065.33,9/7/18,0,Red wine,,,Bottle,Natural Cork,Aconcagua,Chile,Viña Errazuriz S.A,Winemarket Nordic AB,2016,13.00%,TSE,Temporary assortment,0,0,0,Pinot noir.
La Lézardière,,79.00,,750.00,105.33,6/1/18,0,Rose wine,,,Bottle,,Provence,France,Moulin de la Roque,Stellan Kramer AB,2017,13.50%,BS,Order goods,0,0,0,
Solybiza,Rosé Sangria Organic,75.00,,750.00,100.00,6/1/18,0,Aperitif and dessert,Flavored wines & fruit wines,Sangria,Bottle,,,Spain,Bodegas Sanviver,Grapestyle Scandinavia,,7.00%,FS,Fixed assortment,1,0,0,
